#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 20 01 50  33  1.7  3.8  0.02 99.00  9.34 999 1011.8 999.0 999.0 999.0 99.0 99.00
2014 05 20 02 50  38  2.0  3.8 99.00 99.00 99.00 999 1011.7 999.0 999.0 999.0 99.0 99.00
2014 05 20 03 50  39  2.0  3.7  0.02 99.00  9.27 999 1011.1 999.0 999.0 999.0 99.0 99.00
2014 05 20 04 50  39  3.2  5.4  0.01 99.00  8.47 999 1010.4 999.0 999.0 999.0 99.0 99.00
2014 05 20 05 50  16  2.9  5.4  0.01 99.00  8.38 999 1010.7 999.0 999.0 999.0 99.0 99.00
2014 05 20 06 50  45  1.2  2.9  0.01 99.00  8.48 999 1010.6 999.0 999.0 999.0 99.0 99.00
2014 05 20 07 50  37  1.1  2.2  0.01 99.00  8.08 999 1010.1 999.0 999.0 999.0 99.0 99.00
2014 05 20 08 50  14  1.6  2.7  0.01 99.00  8.09 999 1009.9 999.0 999.0 999.0 99.0 99.00
2014 05 20 09 50  10  0.3  0.8  0.01 99.00  8.42 999 1009.8 999.0 999.0 999.0 99.0 99.00
2014 05 20 10 50 180  0.1  0.7 99.00 99.00 99.00 999 1010.2 999.0 999.0 999.0 99.0 99.00
2014 05 20 11 50  38  1.3  2.1  0.01 99.00  7.71 999 1009.7 999.0 999.0 999.0 99.0 99.00
2014 05 20 12 50   3  0.9  1.4  0.01 99.00  7.78 999 1010.3 999.0 999.0 999.0 99.0 99.00
2014 05 20 13 50  27  0.8  1.6  0.01 99.00  8.96 999 1010.7 999.0 999.0 999.0 99.0 99.00
2014 05 20 14 50  76  0.7  1.5  0.01 99.00  7.68 999 1011.1 999.0 999.0 999.0 99.0 99.00
2014 05 20 15 50  20  0.5  1.4 99.00 99.00 99.00 999 1011.3 999.0 999.0 999.0 99.0 99.00
2014 05 20 16 50  75  1.4  2.3 99.00 99.00 99.00 999 1011.7 999.0 999.0 999.0 99.0 99.00
2014 05 20 17 50  44  1.4  2.0 99.00 99.00 99.00 999 1011.7   6.8 999.0 999.0 99.0 99.00
2014 05 20 18 50  54  1.9  3.1  0.02 99.00  9.26 999 1010.8   6.5 999.0 999.0 99.0 99.00
2014 05 20 19 50  48  1.7  2.8  0.01 99.00  7.43 999 1010.3   5.4 999.0 999.0 99.0 99.00
2014 05 20 20 50  52  1.8  3.1  0.01 99.00  7.92 999 1009.8   5.3 999.0 999.0 99.0 99.00
2014 05 20 21 50  33  1.2  2.4  0.02 99.00 10.00 999 1009.5   6.3 999.0 999.0 99.0 99.00
2014 05 20 22 50  36  1.5  3.3 99.00 99.00 99.00 999 1009.5   6.2 999.0 999.0 99.0 99.00
2014 05 20 23 50  28  0.8  1.9  0.01 99.00  8.95 999 1010.0   4.4 999.0 999.0 99.0 99.00
2014 05 21 00 50  26  0.9  2.0  0.01 99.00  9.04 999 1010.5   3.9 999.0 999.0 99.0 99.00
2014 05 21 01 50  29  0.8  2.0  0.01 99.00  7.22 999 1010.6   3.8 999.0 999.0 99.0 99.00
2014 05 21 02 50  26  0.3  1.2  0.01 99.00  7.29 999 1010.9   4.1 999.0 999.0 99.0 99.00
